Franklin India Fund - N (acc) PLN-H1
Templeton Asian Growth Fund - N (acc) PLN-H1
Templeton Global Bond Fund - N (acc) PLN-H1
Templeton Global Total Return Fund - A (acc) PLN-H1
Templeton Latin America Fund - N (acc) PLN-H1
Franklin U.S. Opportunities Fund - N (acc) PLN-H1
Franklin European Total Return Fund - N (acc) PLN-H1
